,athlete_id,athlete,country_noc,total_medaille
14721,14821,Marcus Hurley,USA,5
128973,132163,Simone Manuel,USA,5
44310,44659,Bud Fisher,USA,5
53763,54156,Dezső Gyarmati,HUN,5
29630,29860,Magnus Wegelius,FIN,5
22935,23112,Jerzy Pawłowski,POL,5
22474,22648,Giancarlo Cornaggia-Medici,ITA,5
44308,44657,Dennis Fenton,USA,5
57927,58341,Wilfried Dietrich,GER,5
5207,5226,Teresa Edwards,USA,5
89975,91276,Yang Wei,CHN,5
34614,34890,Carlo Massullo,ITA,5
47283,47642,Antje Buschschulte,GER,5
60667,61109,Ben Ainslie,GBR,5
29345,29567,Lou Yun,CHN,5
130722,134069,James Guy,GBR,5
39188,39498,Elena Georgescu,ROU,5
134040,137692,Irene Schouten,NED,5
23117,23295,Stanislav Pozdnyakov,RUS,5
41459,41784,Niels Larsen,DEN,5
107906,109682,Chad Hedrick,USA,5
11902,11966,Gustav Fischer,SUI,5
30288,30527,Franco Menichelli,ITA,5
43814,44161,Eric Carlberg,SWE,5
96906,98275,Aleksandr Tikhonov,URS,5
29632,29863,Paavo Aaltonen,FIN,5
88241,89529,Jere Lehtinen,FIN,4
125252,128173,Koen Verweij,NED,4
1420,1427,Melanie Roche,AUS,4
90258,91559,Yelena Zamolodchikova,RUS,4
51172,51540,Jeff Rouse,USA,4
44917,45268,Kieren Perkins,AUS,4
69974,70502,Carl Schuhmann,GER,4
44963,45314,Bob Windle,AUS,4
38070,38378,Rossano Galtarossa,ITA,4
11297,11357,Virginia Holgate,GBR,4
112722,114642,Jared Tallent,AUS,4
97857,99238,Wolfgang Zimmerer,FRG,4
132298,135778,Nikita Nagorny,ROC,4
101697,103258,Jess Schipper,AUS,4
12773,12843,Fritz Thiedemann,GER,4
68443,68969,Seb Coe,GBR,4
124112,127003,Mariya Paseka,RUS,4
47266,47625,Frank Wiegand,GDR,4
89083,90378,Arnaud Tournant,FRA,4
51025,51393,Mike Heath,USA,4
78018,78616,Michael Johnson,USA,4
44957,45308,Mike Wenden,AUS,4
108449,110248,Meghan Agosta,CAN,4
96253,97613,Julius Skutnabb,FIN,4
28989,29209,Nataliya Shaposhnikova,URS,4
50915,51283,Mike Burton,USA,4
51155,51523,Bud Pinkston,USA,4
81870,83088,Radya Yeroshina,URS,4
50894,51262,Bob Bennett,USA,4
45735,46089,Lin Li,CHN,4
105999,107723,Andrea Fuentes,ESP,4
126590,129588,Shi Tingmao,CHN,4
67081,67601,Volmari Iso-Hollo,FIN,4
101629,103187,Park Tae-Hwan,KOR,4
80566,81783,Marjo Matikainen,FIN,4
101631,103189,Takeshi Matsuda,JPN,4
50896,51264,Dave Berkoff,USA,4
12752,12822,Blyth Tait,NZL,4
115649,117661,Sandra Izbașa,ROU,4
97105,98475,Frank Ullrich,GDR,4
97004,98374,Vladislav Tretyak,URS,4
30013,30247,Alfred Flatow,GER,4
97862,99243,Markus Zimmermann,GER,4
1447,1454,Natalie Ward,AUS,4
111316,113193,Ed Clancy,GBR,4
92528,93856,Lenny Krayzelburg,USA,4
48814,49179,Joaquín Capilla,MEX,4
118352,120717,Yohan Blake,JAM,4
120668,123211,Liam Heath,GBR,4
81809,83027,Hanni Wenzel,LIE,4
49000,49366,Rie Mastenbroek,NED,4
29986,30219,Klaus Köste,GDR,4
47146,47505,Caren Metschuck,GDR,4
29989,30222,Michael Nikolay,GDR,4
115638,117648,Shawn Johnson,USA,4
50906,51274,George Breen,USA,4
96594,97960,Klaus Sulzenbacher,AUT,4
28980,29200,Tamara Lyukhina,URS,4
28991,29211,Yelena Shushunova,URS,4
51027,51395,Jerry Heidenreich,USA,4
50511,50879,Gennady Prigoda,EUN,4
28977,29197,Tamara Lazakovich,URS,4
83123,84355,Hallgeir Brenden,NOR,4
28939,29159,Eva Věchtová,TCH,4
108218,110008,Tora Berger,NOR,4
116603,118672,Kaillie Humphries,CAN,4
31023,31266,Hrant Shahinyan,URS,4
61491,61945,Carlos Espínola,ARG,4
115503,117511,Jun Mizutani,JPN,4
50466,50833,Andrey Krylov,URS,4
113847,115781,Alain Bernard,FRA,4
28957,29177,Nina Bocharova,URS,4
44845,45196,Peter Evans,AUS,4
50985,51353,Mickey Galitzen,USA,4
5317,5336,Lisa Leslie,USA,4
45727,46081,Le Jingyi,CHN,4
50470,50837,Georgijs Kuļikovs,URS,4
50983,51351,Frank Gailey,USA,4
31012,31255,Valery Lyukin,URS,4
92627,93956,Wang Liqin,CHN,4
16772,16888,Pierre Trentin,FRA,4
114353,116304,Eko Yuli Irawan,INA,4
77699,78297,Glenn Davis,USA,4
35253,35534,James Tomkins,AUS,4
44839,45190,John Devitt,AUS,4
79351,80567,Tatyana Averina,URS,4
54910,55312,Nikolaj Pešalov,CRO,4
98113,99494,Hermann Maier,AUT,4
41023,41345,Ihar Basinski,BLR,4
70333,70865,Kostas Tsiklitiras,GRE,4
124900,127816,Thorsten Margis,GER,4
101273,102820,Park Seong-Hyeon,KOR,4
127746,130838,Mima Ito,JPN,4
31080,31323,Mitch Gaylord,USA,4
61473,61927,Paul Elvstrøm,DEN,4
34845,35122,Igor Novikov,URS,4
29622,29851,Einari Teräsvirta,FIN,4
15815,15926,Stuart O'Grady,AUS,4
97269,98643,Bjarte Engen Vik,NOR,4
124898,127814,Francesco Friedrich,GER,4
80221,81437,Marjatta Kajosmaa,FIN,4
50459,50826,Sergey Koplyakov,URS,4
50998,51366,Budd Goodwin,USA,4
128439,131606,Vitalina Batsarashkina,ROC,4
124410,127324,Matthias Mayer,AUT,4
132321,135802,Yevgeny Rylov,ROC,4
64298,64789,Stan Rowley,AUS,4
44880,45231,John Konrads,AUS,4
126519,129515,Taylor Ruck,CAN,4
133730,137351,Shaoang Liu,HUN,4
18150,18274,Franz Kugler,USA,4
44881,45232,Daniel Kowalski,AUS,4
101540,103095,Tamika Catchings,USA,4
105883,107601,Mijaín López,CUB,4
77726,78324,Harrison Dillard,USA,4
12712,12782,Ian Stark,GBR,4
19595,19736,Teun de Nooijer,NED,4
2406,2416,Arantxa Sánchez Vicario,ESP,4
50520,50888,Vladimir Salnikov,URS,4
97244,98618,Kees Verkerk,NED,4
28975,29195,Nataliya Kuchinskaya,URS,4
84141,85391,Stephan Eberharter,AUT,4
96799,98167,Sergey Tarasov,RUS,4
